en,nl,description,file,hash
"%d consent records","%d toestemmingsregistraties",,site/modules/Cookie/ProcessCookie.module.php,05f962c67d997674818b2af30bd4bd83
"Accept all","Alles accepteren",,site/modules/Cookie/ProcessCookie.module.php,3d0238bf1643e39636b1f5040af3bf6f
Background,Achtergrond,,site/modules/Cookie/ProcessCookie.module.php,a9ded1e5ce5d75814730bb4caaf49419
Banner,Banner,,site/modules/Cookie/ProcessCookie.module.php,6ff29916f99fff9d2494d28e721ae77e
"Banner type",Bannertype,,site/modules/Cookie/ProcessCookie.module.php,6d867330dfd40b8dff0ef248e1709cd0
Bar,Balk,,site/modules/Cookie/ProcessCookie.module.php,ddc35f88fa71b6ef142ae61f35364653
"Base size",Basisgrootte,,site/modules/Cookie/ProcessCookie.module.php,b1f21ccf5339bf406affb3df7060e094
Bottom,Onder,,site/modules/Cookie/ProcessCookie.module.php,2ad9d63b69c4a10a5cc9cad923133bc4
Box,Kader,,site/modules/Cookie/ProcessCookie.module.php,3cfce651e667ab85486dd42a8185f98a
"Button size",Knopgrootte,,site/modules/Cookie/ProcessCookie.module.php,31de1fd9efe72874b7e5da36e286b7b7
"Category acceptance",Categorie-acceptatie,,site/modules/Cookie/ProcessCookie.module.php,a9ec2b598e0907232dc3fee2f9ba52c9
Colors,Kleuren,,site/modules/Cookie/ProcessCookie.module.php,5d50889672f6f860d14f502de3de1957
Consent,Toestemming,,site/modules/Cookie/ProcessCookie.module.php,1bbdf136f897ea2075a786bd05152095
"Consent logging is disabled — there is nothing to chart yet. Enable it in the %s.","Toestemmingsregistratie is uitgeschakeld — er is nog niets om weer te geven. Schakel dit in bij %s.",,site/modules/Cookie/ProcessCookie.module.php,8aa7ccccaceacdddd3c22a74eabcac51
"Consent logging is disabled. Enable it in the %s.","Toestemmingsregistratie is uitgeschakeld. Schakel dit in bij %s.",,site/modules/Cookie/ProcessCookie.module.php,0b1ab028adeb5b6fc30ba1ad1ba73100
Cookie,Cookie,,site/modules/Cookie/ProcessCookie.module.php,706f10887bbeb729378c706eee126fa7
"Cookie Design Studio",Cookie-ontwerpstudio,,site/modules/Cookie/ProcessCookie.module.php,77d8da9fce87cee2c9f6f51ca6d292cb
