en,fr,description,file,hash
"%d consent records","%d enregistrements de consentement",,site/modules/Cookie/ProcessCookie.module.php,05f962c67d997674818b2af30bd4bd83
"Accept all","Tout accepter",,site/modules/Cookie/ProcessCookie.module.php,3d0238bf1643e39636b1f5040af3bf6f
Background,Arrière-plan,,site/modules/Cookie/ProcessCookie.module.php,a9ded1e5ce5d75814730bb4caaf49419
Banner,Bandeau,,site/modules/Cookie/ProcessCookie.module.php,6ff29916f99fff9d2494d28e721ae77e
"Banner type","Type de bandeau",,site/modules/Cookie/ProcessCookie.module.php,6d867330dfd40b8dff0ef248e1709cd0
Bar,Barre,,site/modules/Cookie/ProcessCookie.module.php,ddc35f88fa71b6ef142ae61f35364653
"Base size","Taille de base",,site/modules/Cookie/ProcessCookie.module.php,b1f21ccf5339bf406affb3df7060e094
Bottom,Bas,,site/modules/Cookie/ProcessCookie.module.php,2ad9d63b69c4a10a5cc9cad923133bc4
Box,Encadré,,site/modules/Cookie/ProcessCookie.module.php,3cfce651e667ab85486dd42a8185f98a
"Button size","Taille des boutons",,site/modules/Cookie/ProcessCookie.module.php,31de1fd9efe72874b7e5da36e286b7b7
"Category acceptance","Acceptation par catégorie",,site/modules/Cookie/ProcessCookie.module.php,a9ec2b598e0907232dc3fee2f9ba52c9
Colors,Couleurs,,site/modules/Cookie/ProcessCookie.module.php,5d50889672f6f860d14f502de3de1957
Consent,Consentement,,site/modules/Cookie/ProcessCookie.module.php,1bbdf136f897ea2075a786bd05152095
"Consent logging is disabled — there is nothing to chart yet. Enable it in the %s.","La journalisation du consentement est désactivée — il n'y a encore rien à afficher. Activez-la dans les %s.",,site/modules/Cookie/ProcessCookie.module.php,8aa7ccccaceacdddd3c22a74eabcac51
"Consent logging is disabled. Enable it in the %s.","La journalisation du consentement est désactivée. Activez-la dans les %s.",,site/modules/Cookie/ProcessCookie.module.php,0b1ab028adeb5b6fc30ba1ad1ba73100
Cookie,Cookie,,site/modules/Cookie/ProcessCookie.module.php,706f10887bbeb729378c706eee126fa7
"Cookie Design Studio","Studio de conception Cookie",,site/modules/Cookie/ProcessCookie.module.php,77d8da9fce87cee2c9f6f51ca6d292cb
"Cookie — Consent log","Cookie — Journal de consentement",,site/modules/Cookie/ProcessCookie.module.php,0c810e10981cf24f2e4022ccf9eb6b58
"Cookie — Design Studio","Cookie — Studio de conception",,site/modules/Cookie/ProcessCookie.module.php,09d460c450adcedd073fb0cc26c5bc9f
"Cookie — Import / Export settings","Cookie — Importer/exporter les paramètres",,site/modules/Cookie/ProcessCookie.module.php,27fdb0e69d1fc39a4859ca2d365093a0
"Cookie — Policy generator","Cookie — Générateur de politique",,site/modules/Cookie/ProcessCookie.module.php,52539b50c4a47a035db061182e93fbdd
"Cookie — Statistics","Cookie — Statistiques",,site/modules/Cookie/ProcessCookie.module.php,bc5e196e9cc77386d69f4496ecce2fb8
"Copied to clipboard.","Copié dans le presse-papiers.",,site/modules/Cookie/ProcessCookie.module.php,e94f1e641d683543af6f76c6ced34e8a
Copied.,Copié.,,site/modules/Cookie/ProcessCookie.module.php,c9324191c2eee30ac122a07ab5aa4076
"Copy HTML","Copier le HTML",,site/modules/Cookie/ProcessCookie.module.php,0fa4686b138146a4fcbdde09fdefd5b0
"Copy this JSON or download it, then import it on another site. Texts, categories, behavior, integrations, geo and design are included; the IP-hash salt and consent log are not.","Copiez ce JSON ou téléchargez-le, puis importez-le sur un autre site. Les textes, catégories, comportements, intégrations, la géolocalisation et le design sont inclus ; le sel de hachage IP et le journal de consentement ne le sont pas.",,site/modules/Cookie/ProcessCookie.module.php,a133d18afb83ef1d1f083bc3ed854619
"Corner radius","Rayon des angles",,site/modules/Cookie/ProcessCookie.module.php,158b3b19e8682e63add0e0434ee743a3
Custom,Personnalisé,,site/modules/Cookie/ProcessCookie.module.php,90589c47f06eb971d548591f23c285af
"Custom choice","Choix personnalisé",,site/modules/Cookie/ProcessCookie.module.php,40cf8ab2def23f7a5ed12cdfb477e869
"Custom font-family","Police personnalisée",,site/modules/Cookie/ProcessCookie.module.php,14b61aeed2995b8d908939e8d5687dad
Custom…,Personnalisé…,,site/modules/Cookie/ProcessCookie.module.php,4b7ed787fdebf15c371961a643be9d11
"Daily consent volume","Volume quotidien de consentement",,site/modules/Cookie/ProcessCookie.module.php,de34f61eceecc964d52c6fe733c1c8c8
