en,de,description,file,hash
"%d consent records","%d Einwilligungsdatensätze",,site/modules/Cookie/ProcessCookie.module.php,05f962c67d997674818b2af30bd4bd83
"Accept all","Alle akzeptieren",,site/modules/Cookie/ProcessCookie.module.php,3d0238bf1643e39636b1f5040af3bf6f
Background,Hintergrund,,site/modules/Cookie/ProcessCookie.module.php,a9ded1e5ce5d75814730bb4caaf49419
Banner,Banner,,site/modules/Cookie/ProcessCookie.module.php,6ff29916f99fff9d2494d28e721ae77e
"Banner type",Bannertyp,,site/modules/Cookie/ProcessCookie.module.php,6d867330dfd40b8dff0ef248e1709cd0
Bar,Leiste,,site/modules/Cookie/ProcessCookie.module.php,ddc35f88fa71b6ef142ae61f35364653
"Base size",Basisgröße,,site/modules/Cookie/ProcessCookie.module.php,b1f21ccf5339bf406affb3df7060e094
Bottom,Unten,,site/modules/Cookie/ProcessCookie.module.php,2ad9d63b69c4a10a5cc9cad923133bc4
Box,Box,,site/modules/Cookie/ProcessCookie.module.php,3cfce651e667ab85486dd42a8185f98a
"Button size",Schaltflächengröße,,site/modules/Cookie/ProcessCookie.module.php,31de1fd9efe72874b7e5da36e286b7b7
"Category acceptance",Kategorieakzeptanz,,site/modules/Cookie/ProcessCookie.module.php,a9ec2b598e0907232dc3fee2f9ba52c9
Colors,Farben,,site/modules/Cookie/ProcessCookie.module.php,5d50889672f6f860d14f502de3de1957
Consent,Einwilligung,,site/modules/Cookie/ProcessCookie.module.php,1bbdf136f897ea2075a786bd05152095
"Consent logging is disabled — there is nothing to chart yet. Enable it in the %s.","Die Einwilligungsprotokollierung ist deaktiviert – es gibt noch nichts darzustellen. Aktivieren Sie sie in den %s.",,site/modules/Cookie/ProcessCookie.module.php,8aa7ccccaceacdddd3c22a74eabcac51
"Consent logging is disabled. Enable it in the %s.","Die Einwilligungsprotokollierung ist deaktiviert. Aktivieren Sie sie in den %s.",,site/modules/Cookie/ProcessCookie.module.php,0b1ab028adeb5b6fc30ba1ad1ba73100
Cookie,Cookie,,site/modules/Cookie/ProcessCookie.module.php,706f10887bbeb729378c706eee126fa7
"Cookie Design Studio","Cookie Design-Studio",,site/modules/Cookie/ProcessCookie.module.php,77d8da9fce87cee2c9f6f51ca6d292cb
"Cookie — Consent log","Cookie — Einwilligungsprotokoll",,site/modules/Cookie/ProcessCookie.module.php,0c810e10981cf24f2e4022ccf9eb6b58
"Cookie — Design Studio","Cookie — Design-Studio",,site/modules/Cookie/ProcessCookie.module.php,09d460c450adcedd073fb0cc26c5bc9f
"Cookie — Import / Export settings","Cookie — Einstellungen importieren/exportieren",,site/modules/Cookie/ProcessCookie.module.php,27fdb0e69d1fc39a4859ca2d365093a0
"Cookie — Policy generator","Cookie — Richtliniengenerator",,site/modules/Cookie/ProcessCookie.module.php,52539b50c4a47a035db061182e93fbdd
"Cookie — Statistics","Cookie — Statistik",,site/modules/Cookie/ProcessCookie.module.php,bc5e196e9cc77386d69f4496ecce2fb8
"Copied to clipboard.","In die Zwischenablage kopiert.",,site/modules/Cookie/ProcessCookie.module.php,e94f1e641d683543af6f76c6ced34e8a
Copied.,Kopiert.,,site/modules/Cookie/ProcessCookie.module.php,c9324191c2eee30ac122a07ab5aa4076
"Copy HTML","HTML kopieren",,site/modules/Cookie/ProcessCookie.module.php,0fa4686b138146a4fcbdde09fdefd5b0
"Copy this JSON or download it, then import it on another site. Texts, categories, behavior, integrations, geo and design are included; the IP-hash salt and consent log are not.","Kopieren Sie dieses JSON oder laden Sie es herunter und importieren Sie es dann auf einer anderen Website. Texte, Kategorien, Verhalten, Integrationen, Geo und Design sind enthalten; das IP-Hash-Salt und das Einwilligungsprotokoll nicht.",,site/modules/Cookie/ProcessCookie.module.php,a133d18afb83ef1d1f083bc3ed854619
"Corner radius",Eckenradius,,site/modules/Cookie/ProcessCookie.module.php,158b3b19e8682e63add0e0434ee743a3
Custom,Benutzerdefiniert,,site/modules/Cookie/ProcessCookie.module.php,90589c47f06eb971d548591f23c285af
"Custom choice","Individuelle Auswahl",,site/modules/Cookie/ProcessCookie.module.php,40cf8ab2def23f7a5ed12cdfb477e869
"Custom font-family","Benutzerdefinierte Schriftart",,site/modules/Cookie/ProcessCookie.module.php,14b61aeed2995b8d908939e8d5687dad
Custom…,Benutzerdefiniert…,,site/modules/Cookie/ProcessCookie.module.php,4b7ed787fdebf15c371961a643be9d11
"Daily consent volume","Tägliches Einwilligungsvolumen",,site/modules/Cookie/ProcessCookie.module.php,de34f61eceecc964d52c6fe733c1c8c8
"Daily volume (last %d days)","Tägliches Volumen (letzte %d Tage)",,site/modules/Cookie/ProcessCookie.module.php,7e7ff56361ef7fbf1a403d4fb64bd01d
Dark,Dunkel,,site/modules/Cookie/ProcessCookie.module.php,a18366b217ebf811ad1886e4f4f865b2
Date,Datum,,site/modules/Cookie/ProcessCookie.module.php,44749712dbec183e983dcd78a7736c41
Desktop,Desktop,,site/modules/Cookie/ProcessCookie.module.php,2310408a63388fe57e3a4177168a8798
"Dim page behind the banner","Seite hinter dem Banner abdunkeln",,site/modules/Cookie/ProcessCookie.module.php,19517d7134160977dd435ce39e137e31
"Download .html",".html herunterladen",,site/modules/Cookie/ProcessCookie.module.php,d700e49b6060dd545bfa0476edca3720
"Download settings.json","settings.json herunterladen",,site/modules/Cookie/ProcessCookie.module.php,d8cd0f9e0d02b0f725f5a4635fced5e9
"Each swatch previews three colors, left to right: primary button, background, secondary button.","Jede Kachel zeigt drei Farben, von links nach rechts: primärer Button, Hintergrund, sekundärer Button.",,site/modules/Cookie/ProcessCookie.module.php,687716997dac3aae4ff137ec064ab405
"Enable dark theme (prefers-color-scheme: dark)","Dunkles Design aktivieren (prefers-color-scheme: dark)",,site/modules/Cookie/ProcessCookie.module.php,1809b4dcfe9af45fce545a5d3a8774f0
Export,Exportieren,,site/modules/Cookie/ProcessCookie.module.php,0095a9fa74d1713e43e370a7d7846224
"Export CSV","CSV exportieren",,site/modules/Cookie/ProcessCookie.module.php,c04f1e4841a6af78088d6ccf6f3a8a76
"Font family",Schriftart,,site/modules/Cookie/ProcessCookie.module.php,4c0ff9700cc0ef77c92b2627bdcd1fb8
Frame,Rahmen,,site/modules/Cookie/ProcessCookie.module.php,3bb3e8c8a24891ba0f7608bcc96f8b0a
ID,ID,,site/modules/Cookie/ProcessCookie.module.php,b718adec73e04ce3ec720dd11a06a308
"IP (hashed)","IP (gehasht)",,site/modules/Cookie/ProcessCookie.module.php,ed4f457da638bde3ca762927ed248683
Icon,Symbol,,site/modules/Cookie/ProcessCookie.module.php,817434295a673aed431435658b65d9a7
"Icon color",Symbolfarbe,,site/modules/Cookie/ProcessCookie.module.php,534b7c706186028f1b4f51344bbca176
Import,Importieren,,site/modules/Cookie/ProcessCookie.module.php,72d6d7a1885885bb55a565fd1070581a
"Import settings","Einstellungen importieren",,site/modules/Cookie/ProcessCookie.module.php,6005f32a6b0b2eff40beaf1834123d4d
"Imported %1$d settings (%2$d ignored).","%1$d Einstellungen importiert (%2$d ignoriert).",,site/modules/Cookie/ProcessCookie.module.php,f6ac66b09e72906ef2453a8834c73470
"Importing overwrites the current settings. Consider exporting a backup first.","Der Import überschreibt die aktuellen Einstellungen. Exportieren Sie zuvor am besten ein Backup.",,site/modules/Cookie/ProcessCookie.module.php,18834916829a38f3163b19d32ce564e1
"Inherit from site","Von der Website übernehmen",,site/modules/Cookie/ProcessCookie.module.php,dae47d40a59dc1bb51bd24a025ec08af
"Invalid JSON.","Ungültiges JSON.",,site/modules/Cookie/ProcessCookie.module.php,1ad5711558f857533fed41f1fd1dd681
Layout,Layout,,site/modules/Cookie/ProcessCookie.module.php,ebd9bec4d70abc789d439c1f136b0538
Links,Links,,site/modules/Cookie/ProcessCookie.module.php,bd908db5ccb07777ced8023dffc802f4
"Max width","Maximale Breite",,site/modules/Cookie/ProcessCookie.module.php,477964da3b7a710156efc82fc4bc72e2
Mobile,Mobil,,site/modules/Cookie/ProcessCookie.module.php,87d17f4624a514e81dc7c8e016a7405c
Modal,Modal,,site/modules/Cookie/ProcessCookie.module.php,c59d6df802c32f037c2a15ff75faec17
Monospace,Monospace,,site/modules/Cookie/ProcessCookie.module.php,a3fd27e2bbcda0c7be0037ee70829384
Newer,Neuer,,site/modules/Cookie/ProcessCookie.module.php,236c7642a79eeb1b4154eb4712bd4068
"No consent records in the selected period yet. Statistics will appear once visitors start making choices.","Für den ausgewählten Zeitraum liegen noch keine Einwilligungsdatensätze vor. Statistiken erscheinen, sobald Besucher Entscheidungen treffen.",,site/modules/Cookie/ProcessCookie.module.php,13714d36d70292e9e67c43f8d5601eb3
"No background (icon only)","Kein Hintergrund (nur Symbol)",,site/modules/Cookie/ProcessCookie.module.php,50439895ce2d5960bc1b29c976ec099e
None,Keine,,site/modules/Cookie/ProcessCookie.module.php,6adf97f83acf6453d4a6a4b1070f3754
"Nothing to import — choose a file or paste JSON.","Nichts zu importieren — wählen Sie eine Datei oder fügen Sie JSON ein.",,site/modules/Cookie/ProcessCookie.module.php,2ef00be329855f27b740af6bcebf1445
"Offset X","Versatz X",,site/modules/Cookie/ProcessCookie.module.php,85702e5968e1616bd5c577cf306b9806
"Offset Y","Versatz Y",,site/modules/Cookie/ProcessCookie.module.php,73411f5996beaef37222d8cac0b89b71
Older,Älter,,site/modules/Cookie/ProcessCookie.module.php,625fd29749d91880963143cfd589bd8f
"Only necessary","Nur notwendige",,site/modules/Cookie/ProcessCookie.module.php,1161afd7e32ff458ab47afd41eeb0ab5
Padding,Innenabstand,,site/modules/Cookie/ProcessCookie.module.php,a10443964156b9e87c95e74c8f9baf15
"Page %1$d of %2$d","Seite %1$d von %2$d",,site/modules/Cookie/ProcessCookie.module.php,3a1ed905045e5cf29efec452131f9403
Placeholder,Platzhalter,,site/modules/Cookie/ProcessCookie.module.php,68753d36ec0c4d7768b20993268d68d1
Position,Position,,site/modules/Cookie/ProcessCookie.module.php,52f5e0bc3859bc5f5e25130b6c7e8881
Preferences,Einstellungen,,site/modules/Cookie/ProcessCookie.module.php,d0834fcec6337785ee749c8f5464f6f6
Presets,Vorlagen,,site/modules/Cookie/ProcessCookie.module.php,eb81441fe20963ff9e8e69c5b32fc625
Preview,Vorschau,,site/modules/Cookie/ProcessCookie.module.php,31fde7b05ac8952dacf4af8a704074ec
"Primary button","Primärer Button",,site/modules/Cookie/ProcessCookie.module.php,7c81d84b14ee6209a9afa0f4a06cff54
"Primary text","Primärer Text",,site/modules/Cookie/ProcessCookie.module.php,9357eb899e4060dd46a48207b967a0e8
"Reset to defaults","Auf Standard zurücksetzen",,site/modules/Cookie/ProcessCookie.module.php,21e2bb42873eddcb9b476b8eafbe0c18
Round,Rund,,site/modules/Cookie/ProcessCookie.module.php,b7f41fc1412ad2ee75e9b2635d3b9d5c
Rounded,Abgerundet,,site/modules/Cookie/ProcessCookie.module.php,bef2481eda40bd121482f1814d72314f
"Same order as above: primary button, background, secondary button.","Gleiche Reihenfolge wie oben: primärer Button, Hintergrund, sekundärer Button.",,site/modules/Cookie/ProcessCookie.module.php,7dc627172c2de0d2cd31f6373b5986a3
"Save design","Design speichern",,site/modules/Cookie/ProcessCookie.module.php,eb503511e27315827ba931d4cf89f353
"Save failed","Speichern fehlgeschlagen",,site/modules/Cookie/ProcessCookie.module.php,e32a4e5887229cc3ce7412591de16cff
Saved,Gespeichert,,site/modules/Cookie/ProcessCookie.module.php,248336101b461380a4b2391a7625493d
Saving…,Speichern…,,site/modules/Cookie/ProcessCookie.module.php,eedf6b8bfc83284c3294ec4b38188e8a
"Secondary button","Sekundärer Button",,site/modules/Cookie/ProcessCookie.module.php,17ba88fcdd3edd04a9b30146830089ed
"Secondary text","Sekundärer Text",,site/modules/Cookie/ProcessCookie.module.php,b899cb40112ad30057069504347621cb
"Serif (Georgia)","Serif (Georgia)",,site/modules/Cookie/ProcessCookie.module.php,601e681dc352341622a2655ff2193ac7
"Settings file (.json):","Einstellungsdatei (.json):",,site/modules/Cookie/ProcessCookie.module.php,f09332d0624466eead605f3b8fa8937b
Shadow,Schatten,,site/modules/Cookie/ProcessCookie.module.php,3f39588bb19e28051d9aedfbb170025c
Shape,Form,,site/modules/Cookie/ProcessCookie.module.php,880c1273b27d27cfc82004c3a4b205c9
"Show icon after consent is given","Symbol nach erteilter Einwilligung anzeigen",,site/modules/Cookie/ProcessCookie.module.php,cfa1b43c92a1b2103d4c5f8bb60ab0ac
Size,Größe,,site/modules/Cookie/ProcessCookie.module.php,6f6cb72d544962fa333e2e34ce64f719
Soft,Weich,,site/modules/Cookie/ProcessCookie.module.php,682160fc6ad12f783f70608a9b46b9b9
Square,Quadratisch,,site/modules/Cookie/ProcessCookie.module.php,ceb46ca115d05c51aa5a16a8867c3304
Strong,Stark,,site/modules/Cookie/ProcessCookie.module.php,c43e0fd449c758dab8f891d8e19eb1a9
"System UI",System-UI,,site/modules/Cookie/ProcessCookie.module.php,6d23681e30f0301f63d2c2eb2cfa9c08
Text,Text,,site/modules/Cookie/ProcessCookie.module.php,9dffbf69ffba8bc38bc4e01abf4b1675
"Texts & behavior","Texte & Verhalten",,site/modules/Cookie/ProcessCookie.module.php,d7af4383490aebfe35d254d8ab6544df
"This file is not a Cookie settings export.","Diese Datei ist kein Cookie-Einstellungsexport.",,site/modules/Cookie/ProcessCookie.module.php,a695306cddd7aa02273958df3063d5b3
"This page previews the cookie policy generated from your categories and services. Output it in a template, or copy the HTML into a page.","Diese Seite zeigt eine Vorschau der aus Ihren Kategorien und Diensten generierten Cookie-Richtlinie. Geben Sie sie in einem Template aus oder kopieren Sie das HTML in eine Seite.",,site/modules/Cookie/ProcessCookie.module.php,ae71f2c15fdcb289e6c8093b0b06eb6f
"Title size",Titelgröße,,site/modules/Cookie/ProcessCookie.module.php,fc1ef35879db8fdc9c114e0aa0200bef
"Toggle dark preview","Dunkle Vorschau umschalten",,site/modules/Cookie/ProcessCookie.module.php,9494acd2cf771a112ed911c18313b5e0
"Toggles / accent","Schalter / Akzent",,site/modules/Cookie/ProcessCookie.module.php,45d6d3314ba50f4928af70105c564255
Top,Oben,,site/modules/Cookie/ProcessCookie.module.php,a4ffdcf0dc1f31b9acaf295d75b51d00
"Total decisions",Gesamtentscheidungen,,site/modules/Cookie/ProcessCookie.module.php,9c5eb808516b13c12cac20a87f9b73ea
"Unsaved changes","Nicht gespeicherte Änderungen",,site/modules/Cookie/ProcessCookie.module.php,c227ad77f168e7fd3e21583b324eddf4
"User agent",User-Agent,,site/modules/Cookie/ProcessCookie.module.php,881e9a305ce80960413ab7f227ef879e
Version,Version,,site/modules/Cookie/ProcessCookie.module.php,34b6cd75171affba6957e308dcbd92be
"View raw log","Rohprotokoll anzeigen",,site/modules/Cookie/ProcessCookie.module.php,cdb8be81a03e65078648edda740cc38e
"last %d days","letzte %d Tage",,site/modules/Cookie/ProcessCookie.module.php,83002a2dfb6b5c9a35104114610d2810
"module settings",Moduleinstellungen,,site/modules/Cookie/ProcessCookie.module.php,6d8fba3e59db49101141459569cce6d6
visitors,Besucher,,site/modules/Cookie/ProcessCookie.module.php,f24d2cc05ca7eaa87d0959ea3f5ddfb2
"…or paste JSON:","…oder JSON einfügen:",,site/modules/Cookie/ProcessCookie.module.php,566a8914c1ca070d7113418617337db8
