en,it,description,file,hash
"%d consent records","%d record di consenso",,site/modules/Cookie/ProcessCookie.module.php,05f962c67d997674818b2af30bd4bd83
"Accept all","Accetta tutti",,site/modules/Cookie/ProcessCookie.module.php,3d0238bf1643e39636b1f5040af3bf6f
Background,Sfondo,,site/modules/Cookie/ProcessCookie.module.php,a9ded1e5ce5d75814730bb4caaf49419
Banner,Banner,,site/modules/Cookie/ProcessCookie.module.php,6ff29916f99fff9d2494d28e721ae77e
"Banner type","Tipo di banner",,site/modules/Cookie/ProcessCookie.module.php,6d867330dfd40b8dff0ef248e1709cd0
Bar,Barra,,site/modules/Cookie/ProcessCookie.module.php,ddc35f88fa71b6ef142ae61f35364653
"Base size","Dimensione base",,site/modules/Cookie/ProcessCookie.module.php,b1f21ccf5339bf406affb3df7060e094
Bottom,"In basso",,site/modules/Cookie/ProcessCookie.module.php,2ad9d63b69c4a10a5cc9cad923133bc4
Box,Riquadro,,site/modules/Cookie/ProcessCookie.module.php,3cfce651e667ab85486dd42a8185f98a
"Button size","Dimensione pulsanti",,site/modules/Cookie/ProcessCookie.module.php,31de1fd9efe72874b7e5da36e286b7b7
"Category acceptance","Accettazione per categoria",,site/modules/Cookie/ProcessCookie.module.php,a9ec2b598e0907232dc3fee2f9ba52c9
Colors,Colori,,site/modules/Cookie/ProcessCookie.module.php,5d50889672f6f860d14f502de3de1957
Consent,Consenso,,site/modules/Cookie/ProcessCookie.module.php,1bbdf136f897ea2075a786bd05152095
"Consent logging is disabled — there is nothing to chart yet. Enable it in the %s.","La registrazione dei consensi è disattivata: non c’è ancora nulla da visualizzare. Attivala in %s.",,site/modules/Cookie/ProcessCookie.module.php,8aa7ccccaceacdddd3c22a74eabcac51
"Consent logging is disabled. Enable it in the %s.","La registrazione dei consensi è disattivata. Attivala in %s.",,site/modules/Cookie/ProcessCookie.module.php,0b1ab028adeb5b6fc30ba1ad1ba73100
Cookie,Cookie,,site/modules/Cookie/ProcessCookie.module.php,706f10887bbeb729378c706eee126fa7
"Cookie Design Studio","Cookie Design Studio",,site/modules/Cookie/ProcessCookie.module.php,77d8da9fce87cee2c9f6f51ca6d292cb
"Cookie — Consent log","Cookie — Registro dei consensi",,site/modules/Cookie/ProcessCookie.module.php,0c810e10981cf24f2e4022ccf9eb6b58
"Cookie — Design Studio","Cookie — Studio di progettazione",,site/modules/Cookie/ProcessCookie.module.php,09d460c450adcedd073fb0cc26c5bc9f
"Cookie — Import / Export settings","Cookie — Importa/esporta impostazioni",,site/modules/Cookie/ProcessCookie.module.php,27fdb0e69d1fc39a4859ca2d365093a0
"Cookie — Policy generator","Cookie — Generatore di informativa",,site/modules/Cookie/ProcessCookie.module.php,52539b50c4a47a035db061182e93fbdd
"Cookie — Statistics","Cookie — Statistiche",,site/modules/Cookie/ProcessCookie.module.php,bc5e196e9cc77386d69f4496ecce2fb8
"Copied to clipboard.","Copiato negli appunti.",,site/modules/Cookie/ProcessCookie.module.php,e94f1e641d683543af6f76c6ced34e8a
Copied.,Copiato.,,site/modules/Cookie/ProcessCookie.module.php,c9324191c2eee30ac122a07ab5aa4076
"Copy HTML","Copia HTML",,site/modules/Cookie/ProcessCookie.module.php,0fa4686b138146a4fcbdde09fdefd5b0
"Copy this JSON or download it, then import it on another site. Texts, categories, behavior, integrations, geo and design are included; the IP-hash salt and consent log are not.","Copia questo JSON o scaricalo, quindi importalo su un altro sito. Sono inclusi testi, categorie, comportamento, integrazioni, geo e design; non sono inclusi il salt dell'hash IP e il registro dei consensi.",,site/modules/Cookie/ProcessCookie.module.php,a133d18afb83ef1d1f083bc3ed854619
"Corner radius","Raggio degli angoli",,site/modules/Cookie/ProcessCookie.module.php,158b3b19e8682e63add0e0434ee743a3
Custom,Personalizzato,,site/modules/Cookie/ProcessCookie.module.php,90589c47f06eb971d548591f23c285af
"Custom choice","Scelta personalizzata",,site/modules/Cookie/ProcessCookie.module.php,40cf8ab2def23f7a5ed12cdfb477e869
"Custom font-family","Famiglia di font personalizzata",,site/modules/Cookie/ProcessCookie.module.php,14b61aeed2995b8d908939e8d5687dad
Custom…,Personalizzato…,,site/modules/Cookie/ProcessCookie.module.php,4b7ed787fdebf15c371961a643be9d11
"Daily consent volume","Volume giornaliero dei consensi",,site/modules/Cookie/ProcessCookie.module.php,de34f61eceecc964d52c6fe733c1c8c8
"Daily volume (last %d days)","Volume giornaliero (ultimi %d giorni)",,site/modules/Cookie/ProcessCookie.module.php,7e7ff56361ef7fbf1a403d4fb64bd01d
Dark,Scuro,,site/modules/Cookie/ProcessCookie.module.php,a18366b217ebf811ad1886e4f4f865b2
Date,Data,,site/modules/Cookie/ProcessCookie.module.php,44749712dbec183e983dcd78a7736c41
Desktop,Desktop,,site/modules/Cookie/ProcessCookie.module.php,2310408a63388fe57e3a4177168a8798
"Dim page behind the banner","Oscura la pagina dietro il banner",,site/modules/Cookie/ProcessCookie.module.php,19517d7134160977dd435ce39e137e31
"Download .html","Scarica .html",,site/modules/Cookie/ProcessCookie.module.php,d700e49b6060dd545bfa0476edca3720
"Download settings.json","Scarica settings.json",,site/modules/Cookie/ProcessCookie.module.php,d8cd0f9e0d02b0f725f5a4635fced5e9
"Each swatch previews three colors, left to right: primary button, background, secondary button.","Ogni campione mostra tre colori, da sinistra a destra: pulsante primario, sfondo, pulsante secondario.",,site/modules/Cookie/ProcessCookie.module.php,687716997dac3aae4ff137ec064ab405
"Enable dark theme (prefers-color-scheme: dark)","Attiva tema scuro (prefers-color-scheme: dark)",,site/modules/Cookie/ProcessCookie.module.php,1809b4dcfe9af45fce545a5d3a8774f0
Export,Esporta,,site/modules/Cookie/ProcessCookie.module.php,0095a9fa74d1713e43e370a7d7846224
"Export CSV","Esporta CSV",,site/modules/Cookie/ProcessCookie.module.php,c04f1e4841a6af78088d6ccf6f3a8a76
"Font family","Famiglia di font",,site/modules/Cookie/ProcessCookie.module.php,4c0ff9700cc0ef77c92b2627bdcd1fb8
Frame,Cornice,,site/modules/Cookie/ProcessCookie.module.php,3bb3e8c8a24891ba0f7608bcc96f8b0a
ID,ID,,site/modules/Cookie/ProcessCookie.module.php,b718adec73e04ce3ec720dd11a06a308
"IP (hashed)","IP (con hash)",,site/modules/Cookie/ProcessCookie.module.php,ed4f457da638bde3ca762927ed248683
Icon,Icona,,site/modules/Cookie/ProcessCookie.module.php,817434295a673aed431435658b65d9a7
"Icon color","Colore dell'icona",,site/modules/Cookie/ProcessCookie.module.php,534b7c706186028f1b4f51344bbca176
Import,Importa,,site/modules/Cookie/ProcessCookie.module.php,72d6d7a1885885bb55a565fd1070581a
"Import settings","Importa impostazioni",,site/modules/Cookie/ProcessCookie.module.php,6005f32a6b0b2eff40beaf1834123d4d
"Imported %1$d settings (%2$d ignored).","%1$d impostazioni importate (%2$d ignorate).",,site/modules/Cookie/ProcessCookie.module.php,f6ac66b09e72906ef2453a8834c73470
"Importing overwrites the current settings. Consider exporting a backup first.","L'importazione sovrascrive le impostazioni attuali. Valuta di esportare prima un backup.",,site/modules/Cookie/ProcessCookie.module.php,18834916829a38f3163b19d32ce564e1
"Inherit from site","Eredita dal sito",,site/modules/Cookie/ProcessCookie.module.php,dae47d40a59dc1bb51bd24a025ec08af
"Invalid JSON.","JSON non valido.",,site/modules/Cookie/ProcessCookie.module.php,1ad5711558f857533fed41f1fd1dd681
Layout,Layout,,site/modules/Cookie/ProcessCookie.module.php,ebd9bec4d70abc789d439c1f136b0538
Links,Link,,site/modules/Cookie/ProcessCookie.module.php,bd908db5ccb07777ced8023dffc802f4
"Max width","Larghezza massima",,site/modules/Cookie/ProcessCookie.module.php,477964da3b7a710156efc82fc4bc72e2
Mobile,Cellulare,,site/modules/Cookie/ProcessCookie.module.php,87d17f4624a514e81dc7c8e016a7405c
Modal,Modale,,site/modules/Cookie/ProcessCookie.module.php,c59d6df802c32f037c2a15ff75faec17
Monospace,Monospace,,site/modules/Cookie/ProcessCookie.module.php,a3fd27e2bbcda0c7be0037ee70829384
Newer,"Più recenti",,site/modules/Cookie/ProcessCookie.module.php,236c7642a79eeb1b4154eb4712bd4068
"No consent records in the selected period yet. Statistics will appear once visitors start making choices.","Nessun record di consenso nel periodo selezionato. Le statistiche appariranno non appena i visitatori inizieranno a fare le loro scelte.",,site/modules/Cookie/ProcessCookie.module.php,13714d36d70292e9e67c43f8d5601eb3
"No background (icon only)","Nessuno sfondo (solo icona)",,site/modules/Cookie/ProcessCookie.module.php,50439895ce2d5960bc1b29c976ec099e
None,Nessuno,,site/modules/Cookie/ProcessCookie.module.php,6adf97f83acf6453d4a6a4b1070f3754
"Nothing to import — choose a file or paste JSON.","Niente da importare: scegli un file o incolla il JSON.",,site/modules/Cookie/ProcessCookie.module.php,2ef00be329855f27b740af6bcebf1445
"Offset X","Offset X",,site/modules/Cookie/ProcessCookie.module.php,85702e5968e1616bd5c577cf306b9806
"Offset Y","Offset Y",,site/modules/Cookie/ProcessCookie.module.php,73411f5996beaef37222d8cac0b89b71
Older,"Meno recenti",,site/modules/Cookie/ProcessCookie.module.php,625fd29749d91880963143cfd589bd8f
"Only necessary","Solo necessari",,site/modules/Cookie/ProcessCookie.module.php,1161afd7e32ff458ab47afd41eeb0ab5
Padding,"Spaziatura interna",,site/modules/Cookie/ProcessCookie.module.php,a10443964156b9e87c95e74c8f9baf15
"Page %1$d of %2$d","Pagina %1$d di %2$d",,site/modules/Cookie/ProcessCookie.module.php,3a1ed905045e5cf29efec452131f9403
Placeholder,Segnaposto,,site/modules/Cookie/ProcessCookie.module.php,68753d36ec0c4d7768b20993268d68d1
Position,Posizione,,site/modules/Cookie/ProcessCookie.module.php,52f5e0bc3859bc5f5e25130b6c7e8881
Preferences,Preferenze,,site/modules/Cookie/ProcessCookie.module.php,d0834fcec6337785ee749c8f5464f6f6
Presets,Preimpostazioni,,site/modules/Cookie/ProcessCookie.module.php,eb81441fe20963ff9e8e69c5b32fc625
Preview,Anteprima,,site/modules/Cookie/ProcessCookie.module.php,31fde7b05ac8952dacf4af8a704074ec
"Primary button","Pulsante primario",,site/modules/Cookie/ProcessCookie.module.php,7c81d84b14ee6209a9afa0f4a06cff54
"Primary text","Testo primario",,site/modules/Cookie/ProcessCookie.module.php,9357eb899e4060dd46a48207b967a0e8
"Reset to defaults","Ripristina i valori predefiniti",,site/modules/Cookie/ProcessCookie.module.php,21e2bb42873eddcb9b476b8eafbe0c18
Round,Rotondo,,site/modules/Cookie/ProcessCookie.module.php,b7f41fc1412ad2ee75e9b2635d3b9d5c
Rounded,Arrotondato,,site/modules/Cookie/ProcessCookie.module.php,bef2481eda40bd121482f1814d72314f
"Same order as above: primary button, background, secondary button.","Stesso ordine di sopra: pulsante primario, sfondo, pulsante secondario.",,site/modules/Cookie/ProcessCookie.module.php,7dc627172c2de0d2cd31f6373b5986a3
"Save design","Salva design",,site/modules/Cookie/ProcessCookie.module.php,eb503511e27315827ba931d4cf89f353
"Save failed","Salvataggio non riuscito",,site/modules/Cookie/ProcessCookie.module.php,e32a4e5887229cc3ce7412591de16cff
Saved,Salvato,,site/modules/Cookie/ProcessCookie.module.php,248336101b461380a4b2391a7625493d
Saving…,Salvataggio…,,site/modules/Cookie/ProcessCookie.module.php,eedf6b8bfc83284c3294ec4b38188e8a
"Secondary button","Pulsante secondario",,site/modules/Cookie/ProcessCookie.module.php,17ba88fcdd3edd04a9b30146830089ed
"Secondary text","Testo secondario",,site/modules/Cookie/ProcessCookie.module.php,b899cb40112ad30057069504347621cb
"Serif (Georgia)","Serif (Georgia)",,site/modules/Cookie/ProcessCookie.module.php,601e681dc352341622a2655ff2193ac7
"Settings file (.json):","File di impostazioni (.json):",,site/modules/Cookie/ProcessCookie.module.php,f09332d0624466eead605f3b8fa8937b
Shadow,Ombra,,site/modules/Cookie/ProcessCookie.module.php,3f39588bb19e28051d9aedfbb170025c
