en,es,description,file,hash
"%d consent records","%d registros de consentimiento",,site/modules/Cookie/ProcessCookie.module.php,05f962c67d997674818b2af30bd4bd83
"Accept all","Aceptar todas",,site/modules/Cookie/ProcessCookie.module.php,3d0238bf1643e39636b1f5040af3bf6f
Background,Fondo,,site/modules/Cookie/ProcessCookie.module.php,a9ded1e5ce5d75814730bb4caaf49419
Banner,Banner,,site/modules/Cookie/ProcessCookie.module.php,6ff29916f99fff9d2494d28e721ae77e
"Banner type","Tipo de banner",,site/modules/Cookie/ProcessCookie.module.php,6d867330dfd40b8dff0ef248e1709cd0
Bar,Barra,,site/modules/Cookie/ProcessCookie.module.php,ddc35f88fa71b6ef142ae61f35364653
"Base size","Tamaño base",,site/modules/Cookie/ProcessCookie.module.php,b1f21ccf5339bf406affb3df7060e094
Bottom,Abajo,,site/modules/Cookie/ProcessCookie.module.php,2ad9d63b69c4a10a5cc9cad923133bc4
Box,Cuadro,,site/modules/Cookie/ProcessCookie.module.php,3cfce651e667ab85486dd42a8185f98a
"Button size","Tamaño de botones",,site/modules/Cookie/ProcessCookie.module.php,31de1fd9efe72874b7e5da36e286b7b7
"Category acceptance","Aceptación por categoría",,site/modules/Cookie/ProcessCookie.module.php,a9ec2b598e0907232dc3fee2f9ba52c9
Colors,Colores,,site/modules/Cookie/ProcessCookie.module.php,5d50889672f6f860d14f502de3de1957
Consent,Consentimiento,,site/modules/Cookie/ProcessCookie.module.php,1bbdf136f897ea2075a786bd05152095
"Consent logging is disabled — there is nothing to chart yet. Enable it in the %s.","El registro de consentimiento está desactivado; todavía no hay nada que mostrar. Actívalo en %s.",,site/modules/Cookie/ProcessCookie.module.php,8aa7ccccaceacdddd3c22a74eabcac51
"Consent logging is disabled. Enable it in the %s.","El registro de consentimiento está desactivado. Actívalo en %s.",,site/modules/Cookie/ProcessCookie.module.php,0b1ab028adeb5b6fc30ba1ad1ba73100
Cookie,Cookie,,site/modules/Cookie/ProcessCookie.module.php,706f10887bbeb729378c706eee126fa7
"Cookie Design Studio","Estudio de diseño Cookie",,site/modules/Cookie/ProcessCookie.module.php,77d8da9fce87cee2c9f6f51ca6d292cb
"Cookie — Consent log","Cookie — Registro de consentimiento",,site/modules/Cookie/ProcessCookie.module.php,0c810e10981cf24f2e4022ccf9eb6b58
"Cookie — Design Studio","Cookie — Estudio de diseño",,site/modules/Cookie/ProcessCookie.module.php,09d460c450adcedd073fb0cc26c5bc9f
"Cookie — Import / Export settings","Cookie — Importar/exportar ajustes",,site/modules/Cookie/ProcessCookie.module.php,27fdb0e69d1fc39a4859ca2d365093a0
"Cookie — Policy generator","Cookie — Generador de política",,site/modules/Cookie/ProcessCookie.module.php,52539b50c4a47a035db061182e93fbdd
"Cookie — Statistics","Cookie — Estadísticas",,site/modules/Cookie/ProcessCookie.module.php,bc5e196e9cc77386d69f4496ecce2fb8
"Copied to clipboard.","Copiado al portapapeles.",,site/modules/Cookie/ProcessCookie.module.php,e94f1e641d683543af6f76c6ced34e8a
Copied.,Copiado.,,site/modules/Cookie/ProcessCookie.module.php,c9324191c2eee30ac122a07ab5aa4076
"Copy HTML","Copiar HTML",,site/modules/Cookie/ProcessCookie.module.php,0fa4686b138146a4fcbdde09fdefd5b0
"Copy this JSON or download it, then import it on another site. Texts, categories, behavior, integrations, geo and design are included; the IP-hash salt and consent log are not.","Copia este JSON o descárgalo, y luego impórtalo en otro sitio. Se incluyen textos, categorías, comportamiento, integraciones, geo y diseño; no se incluyen la sal del hash de IP ni el registro de consentimiento.",,site/modules/Cookie/ProcessCookie.module.php,a133d18afb83ef1d1f083bc3ed854619
"Corner radius","Radio de esquina",,site/modules/Cookie/ProcessCookie.module.php,158b3b19e8682e63add0e0434ee743a3
Custom,Personalizado,,site/modules/Cookie/ProcessCookie.module.php,90589c47f06eb971d548591f23c285af
"Custom choice","Elección personalizada",,site/modules/Cookie/ProcessCookie.module.php,40cf8ab2def23f7a5ed12cdfb477e869
"Custom font-family","Familia de fuente personalizada",,site/modules/Cookie/ProcessCookie.module.php,14b61aeed2995b8d908939e8d5687dad
Custom…,Personalizado…,,site/modules/Cookie/ProcessCookie.module.php,4b7ed787fdebf15c371961a643be9d11
"Daily consent volume","Volumen diario de consentimiento",,site/modules/Cookie/ProcessCookie.module.php,de34f61eceecc964d52c6fe733c1c8c8
"Daily volume (last %d days)","Volumen diario (últimos %d días)",,site/modules/Cookie/ProcessCookie.module.php,7e7ff56361ef7fbf1a403d4fb64bd01d
Dark,Oscuro,,site/modules/Cookie/ProcessCookie.module.php,a18366b217ebf811ad1886e4f4f865b2
Date,Fecha,,site/modules/Cookie/ProcessCookie.module.php,44749712dbec183e983dcd78a7736c41
Desktop,Escritorio,,site/modules/Cookie/ProcessCookie.module.php,2310408a63388fe57e3a4177168a8798
"Dim page behind the banner","Oscurecer la página detrás del banner",,site/modules/Cookie/ProcessCookie.module.php,19517d7134160977dd435ce39e137e31
"Download .html","Descargar .html",,site/modules/Cookie/ProcessCookie.module.php,d700e49b6060dd545bfa0476edca3720
"Download settings.json","Descargar settings.json",,site/modules/Cookie/ProcessCookie.module.php,d8cd0f9e0d02b0f725f5a4635fced5e9
"Each swatch previews three colors, left to right: primary button, background, secondary button.","Cada muestra previsualiza tres colores, de izquierda a derecha: botón principal, fondo, botón secundario.",,site/modules/Cookie/ProcessCookie.module.php,687716997dac3aae4ff137ec064ab405
"Enable dark theme (prefers-color-scheme: dark)","Activar tema oscuro (prefers-color-scheme: dark)",,site/modules/Cookie/ProcessCookie.module.php,1809b4dcfe9af45fce545a5d3a8774f0
Export,Exportar,,site/modules/Cookie/ProcessCookie.module.php,0095a9fa74d1713e43e370a7d7846224
"Export CSV","Exportar CSV",,site/modules/Cookie/ProcessCookie.module.php,c04f1e4841a6af78088d6ccf6f3a8a76
"Font family","Familia de fuente",,site/modules/Cookie/ProcessCookie.module.php,4c0ff9700cc0ef77c92b2627bdcd1fb8
Frame,Marco,,site/modules/Cookie/ProcessCookie.module.php,3bb3e8c8a24891ba0f7608bcc96f8b0a
ID,ID,,site/modules/Cookie/ProcessCookie.module.php,b718adec73e04ce3ec720dd11a06a308
